year month day streamflow_m3s qual_control_by_ana qual_flag
2004 09 01 nan nan nan
2004 09 02 nan nan nan
2004 09 03 nan nan nan
2004 09 04 nan nan nan
2004 09 05 nan nan nan
2004 09 06 nan nan nan
2004 09 07 nan nan nan
2004 09 08 nan nan nan
2004 09 09 nan nan nan
2004 09 10 nan nan nan
2004 09 11 nan nan nan
2004 09 12 nan nan nan
2004 09 13 nan nan nan
2004 09 14 nan nan nan
2004 09 15 nan nan nan
2004 09 16 nan nan nan
2004 09 17 nan nan nan
2004 09 18 nan nan nan
2004 09 19 nan nan nan
2004 09 20 nan nan nan
2004 09 21 nan nan nan
2004 09 22 nan nan nan
2004 09 23 0.000000 1 4
2004 09 24 0.000000 1 4
2004 09 25 0.000000 1 4
2004 09 26 0.000000 1 4
2004 09 27 0.000000 1 4
2004 09 28 0.000000 1 4
2004 09 29 0.000000 1 4
2004 09 30 0.000000 1 4
2004 10 01 0.000000 1 4
2004 10 02 0.000000 1 4
2004 10 03 0.000000 1 4
2004 10 04 0.000000 1 4
2004 10 05 0.000000 1 4
2004 10 06 0.000000 1 4
2004 10 07 0.000000 1 4
2004 10 08 0.000000 1 4
2004 10 09 0.000000 1 4
2004 10 10 0.000000 1 4
2004 10 11 0.000000 1 4
2004 10 12 0.000000 1 4
2004 10 13 0.000000 1 4
2004 10 14 0.000000 1 4
2004 10 15 0.000000 1 4
2004 10 16 0.000000 1 4
2004 10 17 0.000000 1 4
2004 10 18 0.000000 1 4
2004 10 19 0.000000 1 4
2004 10 20 0.000000 1 4
2004 10 21 0.000000 1 4
2004 10 22 0.000000 1 4
2004 10 23 0.000000 1 4
2004 10 24 0.000000 1 4
2004 10 25 0.000000 1 4
2004 10 26 0.000000 1 4
2004 10 27 0.000000 1 4
2004 10 28 0.000000 1 4
2004 10 29 0.000000 1 4
2004 10 30 0.000000 1 4
2004 10 31 0.000000 1 4
2004 11 01 0.000000 1 4
2004 11 02 0.000000 1 4
2004 11 03 0.000000 1 4
2004 11 04 0.000000 1 4
2004 11 05 0.000000 1 4
2004 11 06 0.000000 1 4
2004 11 07 0.000000 1 4
2004 11 08 0.000000 1 4
2004 11 09 0.000000 1 4
